category,to_geocode,google_maps_address,latitude,longitude,electricity_kwh_2014,electricity_kwh_2015,electricity_kwh_2016,electricity_kwh_2017,electricity_kwh_2018,gas_kwh_2014,gas_kwh_2015,gas_kwh_2016,gas_kwh_2017,gas_kwh_2018
Office Building,chief state solicitors office Dublin 8 ireland,"Osmond House, Ship Street Little, Dublin 8, D08 V8C5, Ireland",53.3421215,-6.2691853,112089.20833333331,107519.27166666664,99942.925,99378.06166666666,92434.85,211144.335,266942.005,235155.81,225140.865,251137.37
Office Building,chief state solicitors office Dublin 8 ireland,"Osmond House, Ship Street Little, Dublin 8, D08 V8C5, Ireland",53.3421215,-6.2691853,112089.20833333331,107519.27166666664,99942.925,99378.06166666666,92434.85,211144.335,266942.005,235155.81,225140.865,251137.37
Office Building,chief state solicitors office Dublin 8 ireland,"Osmond House, Ship Street Little, Dublin 8, D08 V8C5, Ireland",53.3421215,-6.2691853,112089.20833333331,107519.27166666664,99942.925,99378.06166666666,92434.85,211144.335,266942.005,235155.81,225140.865,251137.37
Office Building,chief state solicitors office Dublin 8 ireland,"Osmond House, Ship Street Little, Dublin 8, D08 V8C5, Ireland",53.3421215,-6.2691853,112089.20833333331,107519.27166666664,99942.925,99378.06166666666,92434.85,211144.335,266942.005,235155.81,225140.865,251137.37
Office Building,chief state solicitors office Dublin 8 ireland,"Osmond House, Ship Street Little, Dublin 8, D08 V8C5, Ireland",53.3421215,-6.2691853,112089.20833333331,107519.27166666664,99942.925,99378.06166666666,92434.85,211144.335,266942.005,235155.81,225140.865,251137.37
Office Building,chief state solicitors office Dublin 8 ireland,"Osmond House, Ship Street Little, Dublin 8, D08 V8C5, Ireland",53.3421215,-6.2691853,112089.20833333331,107519.27166666664,99942.925,99378.06166666666,92434.85,211144.335,266942.005,235155.81,225140.865,251137.37
Healthcare Building,children's health ireland (chi) at crumlin Dublin 12 ireland,"Cooley Rd, Crumlin, Dublin, D12 N512, Ireland",53.3265089,-6.3175373,6841606.0,6817571.5,7219116.0,7254798.0,7237559.0,2057755.0214285715,2214559.2157142856,2253646.742857143,2211963.5185714285,2261430.1
Healthcare Building,children's health ireland (chi) at crumlin Dublin 12 ireland,"Cooley Rd, Crumlin, Dublin, D12 N512, Ireland",53.3265089,-6.3175373,6841606.0,6817571.5,7219116.0,7254798.0,7237559.0,2057755.0214285715,2214559.2157142856,2253646.742857143,2211963.5185714285,2261430.1
Healthcare Building,children's health ireland (chi) at crumlin Dublin 12 ireland,"Cooley Rd, Crumlin, Dublin, D12 N512, Ireland",53.3265089,-6.3175373,6841606.0,6817571.5,7219116.0,7254798.0,7237559.0,2057755.0214285715,2214559.2157142856,2253646.742857143,2211963.5185714285,2261430.1
Healthcare Building,children's health ireland (chi) at crumlin Dublin 12 ireland,"Cooley Rd, Crumlin, Dublin, D12 N512, Ireland",53.3265089,-6.3175373,6841606.0,6817571.5,7219116.0,7254798.0,7237559.0,2057755.0214285715,2214559.2157142856,2253646.742857143,2211963.5185714285,2261430.1
Healthcare Building,children's health ireland (chi) at crumlin Dublin 12 ireland,"Cooley Rd, Crumlin, Dublin, D12 N512, Ireland",53.3265089,-6.3175373,6841606.0,6817571.5,7219116.0,7254798.0,7237559.0,2057755.0214285715,2214559.2157142856,2253646.742857143,2211963.5185714285,2261430.1
