category,to_geocode,google_maps_address,latitude,longitude,electricity_kwh_2014,electricity_kwh_2015,electricity_kwh_2016,electricity_kwh_2017,electricity_kwh_2018,gas_kwh_2014,gas_kwh_2015,gas_kwh_2016,gas_kwh_2017,gas_kwh_2018
Education Building,abacas special school for children with autism Dublin 24 ireland,"Treepark Rd, Kilnamanagh, Dublin 24, D24 A2XF, Ireland",53.3006068,-6.357688,0.0,0.0,0.0,0.0,13766.5,15648.8,23335.64,19982.01,18012.94,21029.23
Education Building,abacas special school for children with autism Dublin 24 ireland,"Treepark Rd, Kilnamanagh, Dublin 24, D24 A2XF, Ireland",53.3006068,-6.357688,0.0,0.0,0.0,0.0,13766.5,15648.8,23335.64,19982.01,18012.94,21029.23
Other Building,abbey theatre Dublin 1 ireland,"26/27 Abbey Street Lower, North City, Dublin 1, D01 K0F1, Ireland",53.3483986,-6.2571782,12735.755,23464.7525,19703.25,13189.0,10877.9825,,,,,
Other Building,abbey theatre Dublin 1 ireland,"26/27 Abbey Street Lower, North City, Dublin 1, D01 K0F1, Ireland",53.3483986,-6.2571782,12735.755,23464.7525,19703.25,13189.0,10877.9825,,,,,
Other Building,abbey theatre Dublin 1 ireland,"26/27 Abbey Street Lower, North City, Dublin 1, D01 K0F1, Ireland",53.3483986,-6.2571782,12735.755,23464.7525,19703.25,13189.0,10877.9825,,,,,
Other Building,abbey theatre Dublin 1 ireland,"26/27 Abbey Street Lower, North City, Dublin 1, D01 K0F1, Ireland",53.3483986,-6.2571782,12735.755,23464.7525,19703.25,13189.0,10877.9825,,,,,
Other Building,abbey theatre Dublin 11 ireland,,,,4023.016666666667,5393.66,7046.0,6803.666666666667,9004.666666666666,0.0,4129.36,0.0,0.0,0.0
Other Building,abbey theatre Dublin 11 ireland,,,,4023.016666666667,5393.66,7046.0,6803.666666666667,9004.666666666666,0.0,4129.36,0.0,0.0,0.0
Other Building,abbey theatre Dublin 11 ireland,,,,4023.016666666667,5393.66,7046.0,6803.666666666667,9004.666666666666,0.0,4129.36,0.0,0.0,0.0
Other Building,abbey theatre Dublin 3 ireland,,,,9136.04,7991.01,7647.0,10816.0,10794.0,0.0,0.0,0.0,0.0,18638.03
Education Building,adamstown castle educate together national school Co. Dublin ireland,"Station Rd, Adamstown, Dublin, Ireland",53.3360905,-6.4600183,32300.0,49400.0,15950.0,69250.0,44050.0,74691.91,90589.66,86263.67,108009.99,152688.76
Education Building,adamstown castle educate together national school Co. Dublin ireland,"Station Rd, Adamstown, Dublin, Ireland",53.3360905,-6.4600183,32300.0,49400.0,15950.0,69250.0,44050.0,74691.91,90589.66,86263.67,108009.99,152688.76
Office Building,adoption authority of ireland Dublin 4 ireland,"3/4, Shelbourne House, Ballsbridge, Dublin 4, D04 H6F6, Ireland",53.3324924,-6.232523,43785.0,39784.5,41938.4,43214.55,44438.75,,,,,
Office Building,adoption authority of ireland Dublin 4 ireland,"3/4, Shelbourne House, Ballsbridge, Dublin 4, D04 H6F6, Ireland",53.3324924,-6.232523,43785.0,39784.5,41938.4,43214.55,44438.75,,,,,
Office Building,ahead Co. Dublin ireland,"UCD, East Hall, Carysfort Ave, Carrysfort, Blackrock, Co. Dublin, Ireland",53.295593,-6.185642,2317.28,2329.23,2423.61,2419.82,2450.37,4241.2,4590.84,4323.14,3824.92,4489.64
Other Building,alexandra college Dublin 6 ireland,"Milltown Rd, Rathmines, Milltown, Co. Dublin, Ireland",53.31093449999999,-6.2483265,325929.375,325810.69,353581.595,377602.17,417835.5,319894.6,335676.29333333333,380262.6966666667,432707.44,496345.04
Education Building,alexandra college Dublin 6 ireland,"Milltown Rd, Rathmines, Milltown, Co. Dublin, Ireland",53.31093449999999,-6.2483265,325929.375,325810.69,353581.595,377602.17,417835.5,319894.6,335676.29333333333,380262.6966666667,432707.44,496345.04
Education Building,alexandra college Dublin 6 ireland,"Milltown Rd, Rathmines, Milltown, Co. Dublin, Ireland",53.31093449999999,-6.2483265,325929.375,325810.69,353581.595,377602.17,417835.5,319894.6,335676.29333333333,380262.6966666667,432707.44,496345.04
Education Building,all saints' n s Co. Dublin ireland,"Carysfort Ave, Stillorgan Park, Blackrock, Co. Dublin, Ireland",53.2892889,-6.1809426,35490.0,35483.0,37497.0,29764.0,6240.0,0.0,0.0,0.0,7787.87,29664.07
Education Building,all saints' n s Co. Dublin ireland,"Carysfort Ave, Stillorgan Park, Blackrock, Co. Dublin, Ireland",53.2892889,-6.1809426,35490.0,35483.0,37497.0,29764.0,6240.0,0.0,0.0,0.0,7787.87,29664.07
Other Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Other Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Other Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Other Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Co. Dublin ireland,,,,117658.432,114241.78066666666,112144.614,121101.172,90510.09666666666,106022.65875,167393.16,180865.8825,172545.27,266627.48
Office Building,allied irish banks plc Dublin 1 ireland,,,,91233.9,81494.83,75533.6,76140.396,75721.2,75542.5,70997.5475,68965.34,74927.335,79482.4375
Office Building,allied irish banks plc Dublin 1 ireland,,,,91233.9,81494.83,75533.6,76140.396,75721.2,75542.5,70997.5475,68965.34,74927.335,79482.4375
Office Building,allied irish banks plc Dublin 1 ireland,,,,91233.9,81494.83,75533.6,76140.396,75721.2,75542.5,70997.5475,68965.34,74927.335,79482.4375
Office Building,allied irish banks plc Dublin 1 ireland,,,,91233.9,81494.83,75533.6,76140.396,75721.2,75542.5,70997.5475,68965.34,74927.335,79482.4375
Office Building,allied irish banks plc Dublin 1 ireland,,,,91233.9,81494.83,75533.6,76140.396,75721.2,75542.5,70997.5475,68965.34,74927.335,79482.4375
Office Building,allied irish banks plc Dublin 1 ireland,,,,91233.9,81494.83,75533.6,76140.396,75721.2,75542.5,70997.5475,68965.34,74927.335,79482.4375
Office Building,allied irish banks plc Dublin 1 ireland,,,,91233.9,81494.83,75533.6,76140.396,75721.2,75542.5,70997.5475,68965.34,74927.335,79482.4375
Office Building,allied irish banks plc Dublin 1 ireland,,,,91233.9,81494.83,75533.6,76140.396,75721.2,75542.5,70997.5475,68965.34,74927.335,79482.4375
Office Building,allied irish banks plc Dublin 1 ireland,,,,91233.9,81494.83,75533.6,76140.396,75721.2,75542.5,70997.5475,68965.34,74927.335,79482.4375
Office Building,allied irish banks plc Dublin 11 ireland,,,,37492.00666666667,38237.01,43009.66666666666,40122.996666666666,43358.333333333336,54635.04,111294.17,74931.85,53699.67,78908.76
Office Building,allied irish banks plc Dublin 11 ireland,,,,37492.00666666667,38237.01,43009.66666666666,40122.996666666666,43358.333333333336,54635.04,111294.17,74931.85,53699.67,78908.76
Other Building,allied irish banks plc Dublin 11 ireland,,,,37492.00666666667,38237.01,43009.66666666666,40122.996666666666,43358.333333333336,54635.04,111294.17,74931.85,53699.67,78908.76
Office Building,allied irish banks plc Dublin 11 ireland,,,,37492.00666666667,38237.01,43009.66666666666,40122.996666666666,43358.333333333336,54635.04,111294.17,74931.85,53699.67,78908.76
Office Building,allied irish banks plc Dublin 12 ireland,,,,47730.0,58890.005,58139.995,59130.0,56879.5,88573.69,120377.31,72933.01,70230.62,97168.85
Office Building,allied irish banks plc Dublin 12 ireland,,,,47730.0,58890.005,58139.995,59130.0,56879.5,88573.69,120377.31,72933.01,70230.62,97168.85
Office Building,allied irish banks plc Dublin 12 ireland,,,,47730.0,58890.005,58139.995,59130.0,56879.5,88573.69,120377.31,72933.01,70230.62,97168.85
Office Building,allied irish banks plc Dublin 13 ireland,,,,46351.0,46425.0,52943.0,47581.0,54278.0,,,,,
Office Building,allied irish banks plc Dublin 14 ireland,,,,68166.985,67553.015,59481.495,57317.0,76330.5,36556.26,28357.98,30132.21,40729.81,42370.55
Office Building,allied irish banks plc Dublin 14 ireland,,,,68166.985,67553.015,59481.495,57317.0,76330.5,36556.26,28357.98,30132.21,40729.81,42370.55
Office Building,allied irish banks plc Dublin 14 ireland,,,,68166.985,67553.015,59481.495,57317.0,76330.5,36556.26,28357.98,30132.21,40729.81,42370.55
Office Building,allied irish banks plc Dublin 15 ireland,,,,92191.125,111575.01,69800.0,88325.0,98874.5,13176.98,49318.065,68269.81,49799.78,57735.015
Office Building,allied irish banks plc Dublin 15 ireland,,,,92191.125,111575.01,69800.0,88325.0,98874.5,13176.98,49318.065,68269.81,49799.78,57735.015
Office Building,allied irish banks plc Dublin 15 ireland,,,,92191.125,111575.01,69800.0,88325.0,98874.5,13176.98,49318.065,68269.81,49799.78,57735.015
Office Building,allied irish banks plc Dublin 16 ireland,,,,88600.01,93550.01,91000.0,81000.01,92552.0,,,,,
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Other Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 18 ireland,"Unit 33 Blackthorn Road, Sandyford, Dublin, Ireland",53.2772355,-6.2064961,199113.16666666663,193122.25666666665,159132.10333333336,162445.63666666666,395337.8333333333,94475.22285714284,90786.30142857145,76765.35428571429,107006.13,154743.89857142858
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Other Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 2 ireland,"Inside Centra, 44 Westland Row, Dublin 2, Dublin, D02 W274, Ireland",53.34283180000001,-6.2497695,118452.95842105262,95373.03421052633,88708.99842105263,91338.03736842104,102551.81578947368,156631.28375,186037.1175,160797.05875,149368.04374999998,171904.2875
Office Building,allied irish banks plc Dublin 22 ireland,,,,73806.02,78429.01,90887.01,90254.0,92211.0,,,,,
Office Building,allied irish banks plc Dublin 24 ireland,,,,85482.03,76717.01,72795.0,70874.0,76461.0,37367.15,20798.32,104509.33,46545.91,55972.71
Office Building,allied irish banks plc Dublin 24 ireland,,,,85482.03,76717.01,72795.0,70874.0,76461.0,37367.15,20798.32,104509.33,46545.91,55972.71
Office Building,allied irish banks plc Dublin 3 ireland,"Inside Centra, 23-27 Annesley Bridge Rd, Fairview, Dublin 3, Dublin, D03 R8P3, Ireland",53.362466,-6.237446,0.0,0.0,0.0,0.0,0.0,,,,,
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 4 ireland,,,,1491174.11,1539643.36875,1558206.74875,1539174.3725,1347957.405,2793182.36,1691859.3025000002,1657066.6825,1423862.4725,1684027.9125
Office Building,allied irish banks plc Dublin 5 ireland,"St Brigid's Rd, Artane, Dublin 5, Ireland",53.3823466,-6.2053671,81590.02,80910.015,89150.0,98355.0,103719.0,54175.02,69972.65,68597.1,56544.58,64720.3
Office Building,allied irish banks plc Dublin 5 ireland,"St Brigid's Rd, Artane, Dublin 5, Ireland",53.3823466,-6.2053671,81590.02,80910.015,89150.0,98355.0,103719.0,54175.02,69972.65,68597.1,56544.58,64720.3
Office Building,allied irish banks plc Dublin 5 ireland,"St Brigid's Rd, Artane, Dublin 5, Ireland",53.3823466,-6.2053671,81590.02,80910.015,89150.0,98355.0,103719.0,54175.02,69972.65,68597.1,56544.58,64720.3
Office Building,allied irish banks plc Dublin 6 ireland,"Rathmines Rd Upper, Dublin 6, Dublin, D06 Y5P5, Ireland",53.3215584,-6.2662875,47885.51,40983.51,40007.005,35951.5,38195.0,50386.175,53663.14,64373.035,68816.74,78341.405
Office Building,allied irish banks plc Dublin 6 ireland,"Rathmines Rd Upper, Dublin 6, Dublin, D06 Y5P5, Ireland",53.3215584,-6.2662875,47885.51,40983.51,40007.005,35951.5,38195.0,50386.175,53663.14,64373.035,68816.74,78341.405
Office Building,allied irish banks plc Dublin 6 ireland,"Rathmines Rd Upper, Dublin 6, Dublin, D06 Y5P5, Ireland",53.3215584,-6.2662875,47885.51,40983.51,40007.005,35951.5,38195.0,50386.175,53663.14,64373.035,68816.74,78341.405
Office Building,allied irish banks plc Dublin 6 ireland,"Rathmines Rd Upper, Dublin 6, Dublin, D06 Y5P5, Ireland",53.3215584,-6.2662875,47885.51,40983.51,40007.005,35951.5,38195.0,50386.175,53663.14,64373.035,68816.74,78341.405
Office Building,allied irish banks plc Dublin 6W ireland,,,,10395.0,1017.995,62135.5,62556.0,59424.5,,,,,
Office Building,allied irish banks plc Dublin 6W ireland,,,,10395.0,1017.995,62135.5,62556.0,59424.5,,,,,
Office Building,allied irish banks plc Dublin 7 ireland,,,,32248.0,26951.0,30851.0,26716.0,31297.0,,,,,
Office Building,allied irish banks plc Dublin 7 ireland,,,,32248.0,26951.0,30851.0,26716.0,31297.0,,,,,
Office Building,allied irish banks plc Dublin 8 ireland,"Inside Supervalu, The Dargan Building, St John's Road W, Kilmainham, Dublin 8, Dublin, Ireland",53.3445818,-6.2968343,,,,,,52019.24,61188.97,54462.76,16318.98,43069.6
Office Building,allied irish banks plc Dublin 9 ireland,"Swords Road, Santry, Whitehall, Dublin 9, Ireland",53.395098,-6.246068,123275.025,125900.0,128549.985,126875.0,134000.0,55890.175,65557.36,60937.765,58343.615,60963.475
Office Building,allied irish banks plc Dublin 9 ireland,"Swords Road, Santry, Whitehall, Dublin 9, Ireland",53.395098,-6.246068,123275.025,125900.0,128549.985,126875.0,134000.0,55890.175,65557.36,60937.765,58343.615,60963.475
Office Building,allied irish banks plc Dublin 9 ireland,"Swords Road, Santry, Whitehall, Dublin 9, Ireland",53.395098,-6.246068,123275.025,125900.0,128549.985,126875.0,134000.0,55890.175,65557.36,60937.765,58343.615,60963.475
Office Building,allied irish banks plc Dublin 9 ireland,"Swords Road, Santry, Whitehall, Dublin 9, Ireland",53.395098,-6.246068,123275.025,125900.0,128549.985,126875.0,134000.0,55890.175,65557.36,60937.765,58343.615,60963.475
